timestamp,image,food,actual_g,estimated_g,error_g,error_pct,method,confidence,band_low,band_high,in_band,kcal,protein_g,carbs_g,fat_g,scan_id,latency_ms
2026-09-05T06:20:57+00:00,07-plate-4items-topdown.jpg,refried beans,79.0,76.5,-2.5,-3.2,plate_reference,0.59,61.3,91.6,True,114.8,4.6,13.8,3.8,c488b4bd-b061-4a83-b6e0-27230d813484,21304
2026-09-05T06:20:57+00:00,07-plate-4items-topdown.jpg,mexican rice,66.0,79.6,13.6,20.6,plate_reference,0.59,63.9,95.3,True,119.4,4.8,14.3,4.0,c488b4bd-b061-4a83-b6e0-27230d813484,21304
2026-09-05T06:20:57+00:00,07-plate-4items-topdown.jpg,spaghetti,133.0,144.4,11.4,8.6,plate_reference,0.55,115.1,173.7,True,189.2,7.2,36.1,1.6,c488b4bd-b061-4a83-b6e0-27230d813484,21304
2026-09-05T06:37:52+00:00,07-plate-4items-topdown.jpg,"chicken drumstick, grilled with sauce, skin eaten",148.0,141.7,-6.3,-4.3,plate_reference,0.55,112.9,170.4,True,283.4,26.5,10.3,14.4,9090ec0d-db93-4a2b-ad95-97488447d1f8,25128
2026-09-05T06:37:52+00:00,07-plate-4items-topdown.jpg,refried beans,79.0,71.5,-7.5,-9.5,plate_reference,0.62,57.7,85.3,True,107.2,4.3,12.9,3.6,9090ec0d-db93-4a2b-ad95-97488447d1f8,25128
2026-09-05T06:37:52+00:00,07-plate-4items-topdown.jpg,mexican rice,66.0,68.8,2.8,4.2,plate_reference,0.62,55.5,82.0,True,103.2,4.1,12.4,3.4,9090ec0d-db93-4a2b-ad95-97488447d1f8,25128
2026-09-05T06:37:52+00:00,07-plate-4items-topdown.jpg,"squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",133.0,116.9,-16.1,-12.1,plate_reference,0.55,93.2,140.6,True,31.6,0.8,7.6,0.3,9090ec0d-db93-4a2b-ad95-97488447d1f8,25128
2026-09-05T19:27:14+00:00,08-plate-mole-chicken-topdown.jpg,grilled chicken drumstick,146.0,165.7,19.7,13.5,plate_reference,0.75,133.5,197.9,True,357.9,45.4,29.8,18.6,bffd8517-e4eb-4ebb-be25-284af57ff77b,23260
2026-09-05T19:27:14+00:00,08-plate-mole-chicken-topdown.jpg,mexican rice,72.0,121.9,49.9,69.3,plate_reference,0.8,98.4,145.5,False,182.9,7.3,21.9,6.1,bffd8517-e4eb-4ebb-be25-284af57ff77b,23260
2026-09-05T19:27:14+00:00,08-plate-mole-chicken-topdown.jpg,refried beans,109.0,84.5,-24.5,-22.5,plate_reference,0.78,68.2,100.9,False,126.8,5.1,15.2,4.2,bffd8517-e4eb-4ebb-be25-284af57ff77b,23260
2026-09-05T19:51:13+00:00,08-plate-mole-chicken-topdown.jpg,grilled chicken drumstick,146.0,142.3,-3.7,-2.5,plate_reference,0.75,114.8,169.7,True,307.4,39.0,25.6,15.9,3778b2ea-7229-4406-8d86-76576226f5ec,21084
2026-09-05T19:51:13+00:00,08-plate-mole-chicken-topdown.jpg,mexican rice,72.0,85.9,13.9,19.3,plate_reference,0.72,69.1,102.6,True,128.9,5.2,15.5,4.3,3778b2ea-7229-4406-8d86-76576226f5ec,21084
2026-09-05T19:51:13+00:00,08-plate-mole-chicken-topdown.jpg,refried beans,109.0,84.5,-24.5,-22.5,plate_reference,0.73,68.2,100.9,False,126.8,5.1,15.2,4.2,3778b2ea-7229-4406-8d86-76576226f5ec,21084
